#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A67B3C
#Date Time: 2024-10-23 16:13:44.745
#Sample rate: 1.42857e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 5 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 20 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
-0.0001139796856149834,-0.001102395851046807
-0.0001139096856149834,-0.001769532186081698
-0.0001138396856149833,-0.002103100353599295
-0.0001137696856149834,-0.002436668521116588
-0.0001136996856149834,-0.001769532186081698
-0.0001136296856149833,-0.001769532186081546
-0.0001135596856149834,-0.001435964018564253
-0.0001134896856149834,-0.001769532186081698
-0.0001134196856149833,-0.001769532186081546
-0.0001133496856149834,-0.001435964018564253
-0.0001132796856149834,-0.001435964018564253
-0.0001132096856149833,-0.001102395851046959
-0.0001131396856149834,-0.001435964018564253
-0.0001130696856149834,-0.001435964018564253
-0.0001129996856149833,-0.002103100353598385
-0.0001129296856149834,-0.000435259516011917
-0.0001128596856149834,-0.001435964018564253
-0.0001127896856149833,-0.001435964018564101
-0.0001127196856149834,-0.001102395851046959
-0.0001126496856149834,-0.001435964018564253
-0.0001125796856149833,-0.001769532186081546
-0.0001125096856149834,-0.001435964018564404
-0.0001124396856149834,-0.001769532186081698
-0.0001123696856149833,-0.001102395851046959
-0.0001122996856149834,-0.001435964018564101
-0.0001122296856149834,-0.001769532186081698
-0.0001121596856149833,-0.001769532186081849
-0.0001120896856149834,-0.002103100353598991
-0.0001120196856149834,-0.001102395851046807
-0.0001119496856149833,-0.001435964018564253
-0.0001118796856149834,-0.001435964018564253
-0.0001118096856149834,-0.001769532186081698
-0.0001117396856149833,-0.001435964018564404
-0.0001116696856149834,-0.001769532186081546
-0.0001115996856149834,-0.001102395851046807
-0.0001115296856149833,-0.001435964018564708
-0.0001114596856149834,-0.002436668521116133
-0.0001113896856149834,-0.001769532186081698
-0.0001113196856149833,-0.001435964018564253
-0.0001112496856149834,-0.001435964018564253
-0.0001111796856149834,-0.002436668521116588
-0.0001111096856149833,-0.002103100353599143
-0.0001110396856149834,-0.002103100353599143
-0.0001109696856149834,-0.001435964018564253
-0.0001108996856149833,-0.001769532186081698
-0.0001108296856149834,-0.001769532186081698
-0.0001107596856149834,-0.001769532186081698
-0.0001106896856149833,-0.001769532186081849
-0.0001106196856149834,-0.002103100353598991
-0.0001105496856149834,-0.002436668521116588
-0.0001104796856149833,-0.001769532186081394
-0.0001104096856149834,-0.001102395851047111
-0.0001103396856149834,-0.001435964018564253
-0.0001102696856149833,-0.001435964018564101
-0.0001101996856149834,-0.001102395851046959
-0.0001101296856149834,-0.001435964018564253
-0.0001100596856149834,-0.001435964018564101
-0.0001099896856149834,-0.001102395851046959
-0.0001099196856149834,-0.0007688276835293622
-0.0001098496856149834,-0.001435964018564253
-0.0001097796856149834,-0.001435964018564253
-0.0001097096856149834,-0.001102395851046807
-0.0001096396856149834,-0.001769532186081698
-0.0001095696856149834,-0.0007688276835298173
-0.0001094996856149834,-0.001435964018564253
-0.0001094296856149834,-0.001769532186081698
-0.0001093596856149834,-0.001769532186081698
-0.0001092896856149834,-0.001102395851046807
-0.0001092196856149834,-0.0007688276835293622
-0.0001091496856149834,-0.001102395851046656
-0.0001090796856149834,-0.001435964018564253
-0.0001090096856149834,-0.001769532186081698
-0.0001089396856149834,-0.001435964018564404
-0.0001088696856149834,-0.001102395851046807
-0.0001087996856149834,-0.001102395851046807
-0.0001087296856149834,-0.001435964018564101
-0.0001086596856149834,-0.0007688276835293622
-0.0001085896856149834,-0.001102395851046807
-0.0001085196856149834,-0.0007688276835295138
-0.0001084496856149834,-0.0007688276835293622
-0.0001083796856149834,-0.001102395851046807
-0.0001083096856149834,-0.001435964018564101
-0.0001082396856149834,-0.001435964018564253
-0.0001081696856149834,-0.001769532186081698
-0.0001080996856149834,-0.001435964018564404
-0.0001080296856149834,-0.001102395851046807
-0.0001079596856149834,-0.001435964018564253
-0.0001078896856149834,-0.0007688276835296655
-0.0001078196856149834,-0.001435964018564253
-0.0001077496856149834,-0.0007688276835293622
-0.0001076796856149834,-0.001102395851046656
-0.0001076096856149834,-0.001435964018564253
-0.0001075396856149834,-0.0007688276835293622
-0.0001074696856149834,-0.001102395851046656
-0.0001073996856149834,-0.0007688276835293622
-0.0001073296856149834,-0.001102395851046807
-0.0001072596856149834,-0.0007688276835295138
-0.0001071896856149834,-0.001102395851046807
-0.0001071196856149834,-0.001435964018564253
-0.0001070496856149834,-0.001102395851046959
-0.0001069796856149834,-0.001102395851046807
-0.0001069096856149834,-0.001435964018564253
-0.0001068396856149834,-0.001102395851046959
-0.0001067696856149834,-0.001435964018564253
-0.0001066996856149834,-0.001102395851046807
-0.0001066296856149834,-0.001102395851046807
-0.0001065596856149834,-0.001102395851046807
-0.0001064896856149834,-0.0007688276835293622
-0.0001064196856149834,-0.001435964018563949
-0.0001063496856149834,-0.001435964018564253
-0.0001062796856149834,-0.002103100353599143
-0.0001062096856149834,-0.001102395851047263
-0.0001061396856149834,-0.001435964018564253
-0.0001060696856149834,-0.001769532186081698
-0.0001059996856149834,-0.002103100353598991
-0.0001059296856149834,-0.001769532186081698
-0.0001058596856149834,-0.001435964018564253
-0.0001057896856149834,-0.0007688276835296655
-0.0001057196856149834,-0.001435964018564253
-0.0001056496856149834,-0.0007688276835293622
-0.0001055796856149834,-0.001769532186081243
-0.0001055096856149834,-0.001769532186081698
-0.0001054396856149834,-0.001769532186081698
-0.0001053696856149833,-0.001435964018564556
-0.0001052996856149834,-0.002103100353599143
-0.0001052296856149834,-0.001769532186081698
-0.0001051596856149833,-0.001769532186082001
-0.0001050896856149834,-0.002436668521116588
-0.0001050196856149834,-0.001102395851046807
-0.0001049496856149833,-0.002103100353598991
-0.0001048796856149834,-0.001769532186081698
-0.0001048096856149834,-0.001769532186081698
-0.0001047396856149833,-0.00210310035359884
-0.0001046696856149834,-0.001435964018564253
-0.0001045996856149834,-0.001769532186081698
-0.0001045296856149833,-0.001435964018564101
-0.0001044596856149834,-0.001102395851046807
-0.0001043896856149834,-0.001769532186081698
-0.0001043196856149833,-0.001102395851046807
-0.0001042496856149834,-0.001102395851046807
-0.0001041796856149834,-0.001102395851046807
-0.0001041096856149833,-0.001435964018564253
-0.0001040396856149834,-0.001435964018564253
-0.0001039696856149834,-0.001102395851046807
-0.0001038996856149833,-0.001102395851046959
-0.0001038296856149834,-0.001435964018564253
-0.0001037596856149834,-0.001435964018564253
-0.0001036896856149833,-0.001102395851046959
-0.0001036196856149834,-0.001435964018564253
-0.0001035496856149834,-0.001435964018564253
-0.0001034796856149833,-0.002436668521116133
-0.0001034096856149834,-0.001435964018564253
-0.0001033396856149834,-0.001435964018564253
-0.0001032696856149833,-0.001102395851047263
-0.0001031996856149834,-0.002103100353599143
-0.0001031296856149834,-0.001102395851046807
-0.0001030596856149833,-0.001102395851047111
-0.0001029896856149834,-0.001769532186081698
-0.0001029196856149834,-0.001435964018564253
-0.0001028496856149833,-0.001769532186081394
-0.0001027796856149834,-0.001102395851046807
-0.0001027096856149834,-0.0007688276835293622
-0.0001026396856149833,-0.0004352595160123721
-0.0001025696856149834,-0.001435964018564253
-0.0001024996856149834,-0.001435964018564253
-0.0001024296856149833,-0.0007688276835296655
-0.0001023596856149834,-0.001435964018564253
-0.0001022896856149834,-0.0007688276835293622
-0.0001022196856149833,-0.001435964018564253
-0.0001021496856149834,-0.001435964018564253
-0.0001020796856149834,-0.001435964018564253
-0.0001020096856149833,-0.001435964018564101
-0.0001019396856149834,-0.001102395851046807
-0.0001018696856149834,-0.001769532186081698
-0.0001017996856149833,-0.00210310035359884
-0.0001017296856149834,-0.001435964018564253
-0.0001016596856149834,-0.001769532186081698
-0.0001015896856149833,-0.001435964018563949
-0.0001015196856149834,-0.0007688276835293622
-0.0001014496856149834,-0.002103100353599143
-0.0001013796856149833,-0.001435964018564253
-0.0001013096856149834,-0.001435964018564253
-0.0001012396856149834,-0.001435964018564253
-0.0001011696856149833,-0.001102395851047111
-0.0001010996856149834,-0.001769532186081698
-0.0001010296856149834,-0.001102395851046807
-0.0001009596856149833,-0.0007688276835295138
-0.0001008896856149834,-0.001102395851046656
-0.0001008196856149834,-0.001102395851046807
-0.0001007496856149833,-0.001102395851046807
-0.0001006796856149834,-0.001102395851046807
-0.0001006096856149834,-0.001769532186081698
-0.0001005396856149833,-0.002436668521116133
-0.0001004696856149834,-0.001435964018564708
-0.0001003996856149834,-0.002436668521116588
-0.0001003296856149833,-0.0007688276835298172
-0.0001002596856149834,-0.001769532186081243
-0.0001001896856149834,-0.001769532186081698
-0.0001001196856149833,-0.001769532186081849
-0.0001000496856149834,-0.002103100353598991
-9.997968561498337e-05,-0.002103100353599143
-9.990968561498335e-05,-0.002103100353599143
-9.983968561498338e-05,-0.002103100353599143
-9.976968561498337e-05,-0.002436668521116588
-9.969968561498335e-05,-0.002103100353598991
-9.962968561498338e-05,-0.001769532186081849
-9.955968561498337e-05,-0.001769532186081698
-9.948968561498335e-05,-0.00277023668863373
-9.941968561498338e-05,-0.002103100353599447
-9.934968561498337e-05,-0.002436668521116588
-9.927968561498335e-05,-0.002436668521116588
-9.920968561498338e-05,-0.002436668521116588
-9.913968561498337e-05,-0.001435964018564253
-9.906968561498335e-05,-0.00210310035359884
-9.899968561498338e-05,-0.001435964018564556
-9.892968561498337e-05,-0.001102395851046807
-9.885968561498335e-05,-0.001435964018564404
-9.878968561498339e-05,-0.001769532186081546
-9.871968561498337e-05,-0.0007688276835293622
-9.864968561498335e-05,-0.002103100353598991
-9.857968561498339e-05,-0.001769532186081849
-9.850968561498337e-05,-0.001102395851046807
-9.843968561498335e-05,-0.001435964018564101
-9.836968561498339e-05,-0.001102395851046959
-9.829968561498337e-05,-0.001102395851046807
-9.822968561498335e-05,-0.001435964018563949
-9.815968561498339e-05,-0.0007688276835296655
-9.808968561498337e-05,-0.001102395851046807
-9.801968561498335e-05,-0.001769532186081698
-9.794968561498339e-05,-0.001769532186081698
-9.787968561498337e-05,-0.001769532186081698
-9.780968561498335e-05,-0.001435964018564253
